Date-Time,Usage,Wakeups/s,GPU ops/s,Disk IO/s,GFX Wakeups/s,Category,Description,PW Estimate
2023-10-10 07:41:37, 571.6 us/s,139.7,,,,kWork,dbs_work_handler,  553 mW
2023-10-10 07:41:37,   2.1 ms/s,115.0,,,,Interrupt,[3] net_rx(softirq),  458 mW
2023-10-10 07:41:37, 589.6 us/s, 52.4,,,,Timer,tick_sched_timer,  208 mW
2023-10-10 07:41:37,  35.2 ms/s, 0.05,,,,Process,"[PID 120915] nvidia-smi --query-gpu=index,name,memory.total,memory.used,memory.free,utilization.gpu,temperature.gpu,power.draw ", 55.1 mW
2023-10-10 07:41:37, 109.4 us/s, 11.1,,,,Timer,watchdog_timer_fn, 44.0 mW
2023-10-10 07:41:37, 138.1 us/s,  7.5,,,,kWork,psi_avgs_work, 29.8 mW
2023-10-10 07:41:37,   5.8 ms/s,  4.5,,,,Process,[PID 84395] avahi-daemon: running [icns.local] , 26.8 mW
2023-10-10 07:41:37, 311.2 us/s,  6.7,,,,Process,[PID 15] [rcu_sched], 26.8 mW
2023-10-10 07:41:37,  11.0 ms/s,,,,,Process,[PID 120898] powertop --csv=powertop_output.csv , 17.1 mW
2023-10-10 07:41:37, 588.8 us/s,  2.3,,,,Process,[PID 1701] /usr/bin/containerd , 10.1 mW
2023-10-10 07:41:37,  18.5 us/s,  1.7,,,,Interrupt,[301] ahci[0000:00:17.0], 6.85 mW
2023-10-10 07:41:37,  15.7 us/s,  1.5,,,,kWork,lru_add_drain_per_cpu, 6.07 mW
2023-10-10 07:41:37, 439.4 us/s,  0.9,,,,Process,[PID 120913] sensors, 4.39 mW
2023-10-10 07:41:37,  28.0 us/s,  1.1,,,,Interrupt,[4] block(softirq), 4.33 mW
2023-10-10 07:41:37,  15.0 us/s,  1.0,,,,Timer,sched_rt_period_timer, 4.12 mW
2023-10-10 07:41:37, 103.2 us/s,  1.0,,,,kWork,i40e_service_task, 4.06 mW
2023-10-10 07:41:37,  11.8 us/s,  1.0,,,,kWork,pci_pme_list_scan, 3.92 mW
2023-10-10 07:41:37, 446.3 us/s,  0.7,,,,Process,[PID 1700] /usr/bin/containerd , 3.62 mW
2023-10-10 07:41:37,   0.9 ms/s,  0.4,,,,Process,[PID 93340] /home/icns/.vscode-server/bin/e7e037083ff4455cf320e344325dacb480062c3c/node --dns-result-order=ipv4first /home/icns, 3.21 mW
2023-10-10 07:41:37,   4.0 us/s,  0.5,,,,kWork,blk_mq_requeue_work, 2.15 mW
2023-10-10 07:41:37,   0.7 ms/s, 0.25,,,,Process,[PID 93364] /home/icns/.vscode-server/bin/e7e037083ff4455cf320e344325dacb480062c3c/node /home/icns/.vscode-server/bin/e7e037083, 2.13 mW
2023-10-10 07:41:37, 197.6 us/s,  0.4,,,,Process,[PID 93276] /home/icns/.vscode-server/bin/e7e037083ff4455cf320e344325dacb480062c3c/node /home/icns/.vscode-server/bin/e7e037083, 2.06 mW
2023-10-10 07:41:37,   1.2 ms/s,,,,,Interrupt,[7] sched(softirq), 1.86 mW
2023-10-10 07:41:37,   0.9 ms/s,,,,,Process,[PID 1504] /usr/sbin/irqbalance --foreground , 1.41 mW
2023-10-10 07:41:37,  18.1 us/s, 0.30,,,,Process,[PID 360] [kcompactd0], 1.20 mW
2023-10-10 07:41:37,  10.3 us/s, 0.30,,,,kWork,blk_mq_run_work_fn, 1.19 mW
2023-10-10 07:41:37,  84.3 us/s, 0.25,,,,Process,[PID 93456] /home/icns/.vscode-server/bin/e7e037083ff4455cf320e344325dacb480062c3c/node /home/icns/.vscode-server/extensions/th, 1.11 mW
2023-10-10 07:41:37, 636.0 us/s,,,,,Timer,hrtimer_wakeup,  992 uW
2023-10-10 07:41:37, 579.6 us/s,,,,,kWork,gc_worker,  904 uW
2023-10-10 07:41:37, 270.9 us/s, 0.10,,,,Process,[PID 1767] /usr/bin/containerd ,  812 uW
2023-10-10 07:41:37,  40.1 us/s, 0.15,,,,Process,[PID 93363] /home/icns/.vscode-server/bin/e7e037083ff4455cf320e344325dacb480062c3c/node /home/icns/.vscode-server/bin/e7e037083,  647 uW
2023-10-10 07:41:37,   1.7 us/s, 0.15,,,,kWork,wb_workfn,  587 uW
2023-10-10 07:41:37,  50.3 us/s, 0.10,,,,kWork,fb_flashcursor,  468 uW
2023-10-10 07:41:37,  34.8 us/s, 0.10,,,,kWork,flush_memcg_stats_dwork,  444 uW
2023-10-10 07:41:37,  30.2 us/s, 0.10,,,,Process,[PID 880] [jbd2/sda2-8],  437 uW
2023-10-10 07:41:37,  18.0 us/s, 0.10,,,,Process,[PID 118719] /usr/libexec/fwupd/fwupd ,  418 uW
2023-10-10 07:41:37, 259.8 us/s,,,,,Process,[PID 88278] [kworker/0:0],  405 uW
2023-10-10 07:41:37,   4.4 us/s, 0.10,,,,Process,[PID 34659] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ,  397 uW
2023-10-10 07:41:37, 254.1 us/s,,,,,Interrupt,[9] RCU(softirq),  396 uW
2023-10-10 07:41:37,   3.2 us/s, 0.10,,,,kWork,ext4_end_io_rsv_work,  395 uW
2023-10-10 07:41:37,   0.8 us/s, 0.10,,,,kWork,flush_to_ldisc,  391 uW
2023-10-10 07:41:37,   0.3 us/s, 0.10,,,,kWork,blk_mq_timeout_work,  390 uW
2023-10-10 07:41:37, 117.4 us/s, 0.05,,,,Process,"[PID 120914] /bin/sh -c nvidia-smi --query-gpu=index,name,memory.total,memory.used,memory.free,utilization.gpu,temperature.gpu,",  378 uW
2023-10-10 07:41:37,  83.7 us/s, 0.05,,,,Process,[PID 120913] sh,  326 uW
2023-10-10 07:41:37, 192.8 us/s,,,,,Interrupt,[1] timer(softirq),  301 uW
2023-10-10 07:41:37, 192.4 us/s,,,,,Process,[PID 483] [kworker/31:1],  300 uW
2023-10-10 07:41:37, 178.2 us/s,,,,,Process,[PID 118036] [kworker/5:1],  278 uW
2023-10-10 07:41:37, 165.4 us/s,,,,,Timer,process_timeout,  258 uW
2023-10-10 07:41:37,  27.4 us/s, 0.05,,,,Process,[PID 1400] /sbin/multipathd -d -s ,  238 uW
2023-10-10 07:41:37,  23.8 us/s, 0.05,,,,Process,[PID 361] [kcompactd1],  232 uW
2023-10-10 07:41:37, 133.2 us/s,,,,,Process,[PID 88537] [kworker/6:1],  208 uW
2023-10-10 07:41:37, 132.2 us/s,,,,,Interrupt,[63] i40e-eno0-TxRx-18,  206 uW
2023-10-10 07:41:37, 132.0 us/s,,,,,Process,[PID 35326] [kworker/38:0],  206 uW
2023-10-10 07:41:37,   4.9 us/s, 0.05,,,,Timer,tcp_orphan_update,  203 uW
2023-10-10 07:41:37, 129.0 us/s,,,,,Process,[PID 120890] python3 monitor.py ,  201 uW
2023-10-10 07:41:37,   3.2 us/s, 0.05,,,,Process,[PID 84006] /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant ,  200 uW
