Date-Time,Usage,Events/s,Category,Description,PW Estimate
2023-10-10 07:41:37,   0.1%,139.7,kWork,dbs_work_handler,  553 mW
2023-10-10 07:41:37,   0.2%,115.0,Interrupt,[3] net_rx(softirq),  458 mW
2023-10-10 07:41:37,   0.1%, 52.4,Timer,tick_sched_timer,  208 mW
2023-10-10 07:41:37,   3.5%, 0.05,Process,"[PID 120915] nvidia-smi --query-gpu=index,name,memory.total,memory.used,memory.free,utilization.gpu,temperature.gpu,power.draw ", 55.1 mW
2023-10-10 07:41:37,   0.0%, 11.1,Timer,watchdog_timer_fn, 44.0 mW
2023-10-10 07:41:37,   0.0%,  7.5,kWork,psi_avgs_work, 29.8 mW
2023-10-10 07:41:37,   0.6%,  4.5,Process,[PID 84395] avahi-daemon: running [icns.local] , 26.8 mW
2023-10-10 07:41:37,   0.0%,  6.7,Process,[PID 15] [rcu_sched], 26.8 mW
2023-10-10 07:41:37,   1.1%, 0.00,Process,[PID 120898] powertop --csv=powertop_output.csv , 17.1 mW
2023-10-10 07:41:37,   0.1%,  2.3,Process,[PID 1701] /usr/bin/containerd , 10.1 mW
2023-10-10 07:42:01,   0.1%,150.8,kWork,dbs_work_handler,  597 mW
2023-10-10 07:42:01,   0.3%,137.6,Interrupt,[3] net_rx(softirq),  548 mW
2023-10-10 07:42:01,   0.1%, 58.3,Timer,tick_sched_timer,  232 mW
2023-10-10 07:42:01,   8.4%, 0.10,Process,[PID 120932] nvidia-smi,  131 mW
2023-10-10 07:42:01,   0.0%, 12.3,Timer,watchdog_timer_fn, 48.9 mW
2023-10-10 07:42:01,   0.7%,  6.8,Process,[PID 84395] avahi-daemon: running [icns.local] , 38.1 mW
2023-10-10 07:42:01,   0.0%,  8.8,Process,[PID 15] [rcu_sched], 35.4 mW
2023-10-10 07:42:01,   0.0%,  7.1,kWork,psi_avgs_work, 28.3 mW
2023-10-10 07:42:01,   1.2%, 0.05,Process,[PID 120923] powertop --csv=powertop_output.csv , 19.4 mW
2023-10-10 07:42:01,   0.0%,  2.5,kWork,fb_flashcursor, 9.80 mW
2023-10-10 07:42:24,   0.1%,142.7,kWork,dbs_work_handler,  564 mW
2023-10-10 07:42:24,   0.2%,123.3,Interrupt,[3] net_rx(softirq),  491 mW
2023-10-10 07:42:24,   0.1%, 57.5,Timer,tick_sched_timer,  228 mW
2023-10-10 07:42:24,   8.5%, 0.10,Process,[PID 120951] nvidia-smi,  133 mW
2023-10-10 07:42:24,   0.0%, 12.8,Timer,watchdog_timer_fn, 50.9 mW
2023-10-10 07:42:24,   0.0%,  8.8,Process,[PID 15] [rcu_sched], 35.4 mW
2023-10-10 07:42:24,   0.0%,  7.1,kWork,psi_avgs_work, 28.3 mW
2023-10-10 07:42:24,   0.4%,  3.4,Process,[PID 84395] avahi-daemon: running [icns.local] , 20.0 mW
2023-10-10 07:42:24,   0.0%,  4.4,kWork,fb_flashcursor, 17.4 mW
2023-10-10 07:42:24,   1.1%, 0.00,Process,[PID 120940] powertop --csv=powertop_output.csv , 16.5 mW
2023-10-10 07:42:47,   0.1%,152.4,kWork,dbs_work_handler,  603 mW
2023-10-10 07:42:47,   0.3%,137.5,Interrupt,[3] net_rx(softirq),  547 mW
2023-10-10 07:42:47,   0.1%, 64.0,Timer,tick_sched_timer,  254 mW
2023-10-10 07:42:47,   8.4%, 0.10,Process,[PID 120968] nvidia-smi,  131 mW
