,Date-Time,Usage,Wakeups/s,GPU ops/s,Disk IO/s,GFX Wakeups/s,Category,Description,PW Estimate
0,2023-09-26 09:22:40,   1.7 ms/s,112.0,,,,Interrupt,[3] net_rx(softirq),  445 mW
1,2023-09-26 09:22:40, 364.4 us/s,101.3,,,,kWork,dbs_work_handler,  401 mW
2,2023-09-26 09:22:40, 459.1 us/s, 43.9,,,,Timer,tick_sched_timer,  174 mW
3,2023-09-26 09:22:40, 106.6 us/s, 13.7,,,,Timer,watchdog_timer_fn, 54.2 mW
4,2023-09-26 09:22:40,  16.6 ms/s,,,,,Process,[PID 2439] python3, 25.9 mW
5,2023-09-26 09:22:40,  16.1 ms/s, 0.05,,,,Process,[PID 2598] cuda-EvtHandlr, 25.3 mW
6,2023-09-26 09:22:40, 128.7 us/s,  6.3,,,,kWork,psi_avgs_work, 25.0 mW
7,2023-09-26 09:22:40,  10.6 ms/s, 0.05,,,,Process,[PID 2879] powertop --csv=powertop_output.csv , 16.7 mW
8,2023-09-26 09:22:40,  28.0 us/s,  3.9,,,,kWork,flush_to_ldisc, 15.3 mW
9,2023-09-26 09:22:40,  76.9 us/s,  2.7,,,,Interrupt,[303] nvidia, 10.7 mW
10,2023-09-26 09:22:40, 369.6 us/s,  2.4,,,,Process,[PID 1722] /usr/bin/containerd , 10.1 mW
11,2023-09-26 09:22:40, 103.5 us/s,  2.1,,,,Process,[PID 15] [rcu_sched], 8.55 mW
12,2023-09-26 09:22:40,  68.2 us/s,  1.7,,,,Interrupt,[304] nvidia, 6.74 mW
13,2023-09-26 09:22:40, 305.4 us/s,  1.5,,,,Process,[PID 1728] /usr/bin/containerd , 6.53 mW
14,2023-09-26 09:22:40,  45.2 us/s,  1.5,,,,kWork,fb_flashcursor, 6.12 mW
15,2023-09-26 09:22:40,  11.2 us/s,  1.4,,,,kWork,lru_add_drain_per_cpu, 5.48 mW
16,2023-09-26 09:22:40, 255.3 us/s,  1.0,,,,Process,[PID 1736] /usr/bin/containerd , 4.30 mW
17,2023-09-26 09:22:40,  14.6 us/s,  1.0,,,,Timer,sched_rt_period_timer, 4.12 mW
18,2023-09-26 09:22:40,  95.7 us/s,  0.9,,,,kWork,i40e_service_task, 3.86 mW
19,2023-09-26 09:22:40,  10.7 us/s,  0.9,,,,kWork,pci_pme_list_scan, 3.72 mW
20,2023-09-26 09:22:40,  29.8 us/s,  0.9,,,,kWork,free_work, 3.56 mW
21,2023-09-26 09:22:40,  20.4 us/s,  0.7,,,,Interrupt,[4] block(softirq), 2.96 mW
22,2023-09-26 09:22:40,   1.6 ms/s,,,,,Process,[PID 2878] python3, 2.43 mW
23,2023-09-26 09:22:40, 344.3 us/s,  0.4,,,,Process,[PID 1695] /usr/bin/containerd , 2.29 mW
24,2023-09-26 09:22:40,  21.3 us/s,  0.5,,,,Process,[PID 361] [kcompactd0], 1.98 mW
25,2023-09-26 09:22:40,  72.8 us/s,  0.4,,,,Process,[PID 2557] irq/304-nvidia, 1.67 mW
26,2023-09-26 09:22:40,   1.0 ms/s,,,,,Interrupt,[7] sched(softirq), 1.60 mW
27,2023-09-26 09:22:40,   0.9 ms/s,,,,,Process,[PID 2854] -bash , 1.41 mW
28,2023-09-26 09:22:40,   0.9 ms/s,,,,,Process,[PID 1506] /usr/sbin/irqbalance --foreground , 1.36 mW
29,2023-09-26 09:22:40,  72.0 us/s, 0.30,,,,Process,[PID 2554] irq/303-nvidia, 1.28 mW
30,2023-09-26 09:22:40,   2.2 us/s, 0.25,,,,kWork,blk_mq_requeue_work,  979 uW
31,2023-09-26 09:22:40, 333.1 us/s, 0.10,,,,Process,[PID 1735] /usr/bin/containerd ,  910 uW
32,2023-09-26 09:22:40,  50.6 us/s, 0.20,,,,kWork,flush_memcg_stats_dwork,  860 uW
33,2023-09-26 09:22:40, 359.5 us/s, 0.05,,,,Timer,hrtimer_wakeup,  756 uW
34,2023-09-26 09:22:40, 411.9 us/s,,,,,Process,[PID 2853] sshd: icns@pts/3 ,  643 uW
35,2023-09-26 09:22:40,   5.4 us/s, 0.15,,,,kWork,blk_mq_run_work_fn,  594 uW
36,2023-09-26 09:22:40,   0.4 us/s, 0.15,,,,kWork,blk_mq_timeout_work,  586 uW
37,2023-09-26 09:22:40, 183.5 us/s, 0.05,,,,Process,[PID 1729] /usr/bin/containerd ,  481 uW
38,2023-09-26 09:22:40,  34.9 us/s, 0.10,,,,Process,[PID 1411] /sbin/multipathd -d -s ,  445 uW
39,2023-09-26 09:22:40,  20.8 us/s, 0.10,,,,Process,[PID 1493] /usr/lib/accountsservice/accounts-daemon ,  423 uW
40,2023-09-26 09:22:40,  18.9 us/s, 0.10,,,,Process,[PID 362] [kcompactd1],  420 uW
41,2023-09-26 09:22:40,   4.9 us/s, 0.10,,,,Process,[PID 2562] UVM GPU1 KC,  398 uW
42,2023-09-26 09:22:40,   3.5 us/s, 0.10,,,,Process,[PID 14] [ksoftirqd/0],  396 uW
43,2023-09-26 09:22:40,  55.3 us/s, 0.05,,,,Process,[PID 2599] python3,  281 uW
44,2023-09-26 09:22:40, 179.3 us/s,,,,,Interrupt,[9] RCU(softirq),  280 uW
45,2023-09-26 09:22:40, 165.7 us/s,,,,,Interrupt,[87] i40e-eno0-TxRx-42,  258 uW
46,2023-09-26 09:22:40,  32.8 us/s, 0.05,,,,Process,[PID 2559] nv_queue,  246 uW
47,2023-09-26 09:22:40, 152.6 us/s,,,,,Interrupt,[1] timer(softirq),  238 uW
48,2023-09-26 09:22:40, 150.5 us/s,,,,,Process,[PID 18] [kworker/0:1],  235 uW
49,2023-09-26 09:22:40,  24.1 us/s, 0.05,,,,Process,[PID 1407] /sbin/multipathd -d -s ,  233 uW
50,2023-09-26 09:22:40, 147.1 us/s,,,,,Process,[PID 532] [kworker/31:2],  230 uW
51,2023-09-26 09:22:40, 146.6 us/s,,,,,Process,[PID 542] [kworker/41:2],  229 uW
52,2023-09-26 09:22:40,   9.0 us/s, 0.05,,,,Process,[PID 1477] /lib/systemd/systemd-resolved ,  209 uW
53,2023-09-26 09:22:40,   8.8 us/s, 0.05,,,,Process,[PID 1439] /lib/systemd/systemd-timesyncd ,  209 uW
54,2023-09-26 09:22:40,   8.7 us/s, 0.05,,,,Process,[PID 1028] /lib/systemd/systemd-udevd ,  209 uW
55,2023-09-26 09:22:40,   5.2 us/s, 0.05,,,,Process,[PID 1746] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ,  203 uW
56,2023-09-26 09:22:40,   4.3 us/s, 0.05,,,,Process,[PID 2560] vidmem lazy fre,  202 uW
57,2023-09-26 09:22:40,   4.2 us/s, 0.05,,,,Process,[PID 2561] UVM GPU1 BH,  202 uW
58,2023-09-26 09:22:40,   4.0 us/s, 0.05,,,,Process,[PID 2563] vidmem lazy fre,  201 uW
59,2023-09-26 09:22:40,   1.8 us/s, 0.05,,,,kWork,wb_workfn,  198 uW
60,2023-09-26 09:22:40,   1.6 us/s, 0.05,,,,Process,[PID 277] [ksoftirqd/43],  198 uW
61,2023-09-26 09:22:40,   0.4 us/s, 0.05,,,,Process,[PID 29] [ksoftirqd/2],  196 uW
62,2023-09-26 09:22:40,   0.3 us/s, 0.05,,,,kWork,addrconf_verify_work,  196 uW
63,2023-09-26 09:22:40,   0.3 us/s, 0.05,,,,kWork,neigh_periodic_work,  196 uW
64,2023-09-26 09:22:40,   0.1 us/s, 0.05,,,,kWork,kfree_rcu_monitor,  195 uW
65,2023-09-26 09:22:40,   0.0 us/s, 0.05,,,,kWork,ext4_end_io_rsv_work,  195 uW
66,2023-09-26 09:22:40, 124.4 us/s,,,,,Process,[PID 536] [kworker/35:2],  194 uW
67,2023-09-26 09:22:40, 121.0 us/s,,,,,Process,[PID 1696] /usr/bin/containerd ,  189 uW
68,2023-09-26 09:22:40, 119.6 us/s,,,,,Process,[PID 2774] [kworker/u113:0],  187 uW
69,2023-09-26 09:22:40, 115.3 us/s,,,,,Process,[PID 1697] /usr/bin/containerd ,  180 uW
70,2023-09-26 09:22:40, 113.1 us/s,,,,,Timer,delayed_work_timer_fn,  176 uW
71,2023-09-26 09:22:40, 111.0 us/s,,,,,Timer,process_timeout,  173 uW
72,2023-09-26 09:22:40, 110.8 us/s,,,,,Process,[PID 1733] /usr/bin/containerd ,  173 uW
73,2023-09-26 09:22:40, 108.9 us/s,,,,,Process,[PID 2887] bash,  170 uW
74,2023-09-26 09:22:40, 105.6 us/s,,,,,Process,[PID 2886] bash,  165 uW
75,2023-09-26 09:22:40,  99.9 us/s,,,,,Process,[PID 1721] /usr/bin/containerd ,  156 uW
76,2023-09-26 09:22:40,  95.8 us/s,,,,,Process,[PID 2885] bash,  150 uW
77,2023-09-26 09:22:40,  94.7 us/s,,,,,Process,[PID 1720] /usr/bin/containerd ,  148 uW
78,2023-09-26 09:22:40,  90.3 us/s,,,,,Process,[PID 1698] /usr/bin/containerd ,  141 uW
79,2023-09-26 09:22:40,  85.1 us/s,,,,,Process,[PID 1718] /usr/bin/containerd ,  133 uW
80,2023-09-26 09:22:40,  84.9 us/s,,,,,Process,[PID 2889] bash,  133 uW
81,2023-09-26 09:22:40,  81.3 us/s,,,,,Process,[PID 1737] /usr/bin/containerd ,  127 uW
82,2023-09-26 09:22:40,  80.7 us/s,,,,,Process,[PID 2891] bash,  126 uW
83,2023-09-26 09:22:40,  80.6 us/s,,,,,kWork,vmstat_update,  126 uW
84,2023-09-26 09:22:40,  78.6 us/s,,,,,Process,[PID 2885] ls,  123 uW
85,2023-09-26 09:22:40,  77.8 us/s,,,,,Process,[PID 442] [kworker/30:1],  121 uW
86,2023-09-26 09:22:40,  74.7 us/s,,,,,Process,[PID 1726] /usr/bin/containerd ,  116 uW
87,2023-09-26 09:22:40,  71.7 us/s,,,,,Process,[PID 2888] bash,  112 uW
88,2023-09-26 09:22:40,  71.3 us/s,,,,,Process,[PID 530] [kworker/29:2],  111 uW
89,2023-09-26 09:22:40,  70.8 us/s,,,,,Process,[PID 1734] /usr/bin/containerd ,  110 uW
90,2023-09-26 09:22:40,  69.0 us/s,,,,,Process,[PID 458] [kworker/48:1],  108 uW
91,2023-09-26 09:22:40,  66.1 us/s,,,,,Process,[PID 538] [kworker/37:2],  103 uW
92,2023-09-26 09:22:40,  65.1 us/s,,,,,Process,[PID 457] [kworker/47:1],  101 uW
93,2023-09-26 09:22:40,  63.9 us/s,,,,,Process,[PID 2890] bash,    0 mW
94,2023-09-26 09:22:40,  63.0 us/s,,,,,Process,[PID 508] [kworker/7:2],    0 mW
95,2023-09-26 09:22:40,  56.9 us/s,,,,,Process,[PID 2174] sshd: icns@pts/0 ,    0 mW
96,2023-09-26 09:22:40,  55.1 us/s,,,,,Process,[PID 459] [kworker/49:1],    0 mW
97,2023-09-26 09:22:40,  53.5 us/s,,,,,Process,[PID 2887] ls,    0 mW
98,2023-09-26 09:22:40,  52.2 us/s,,,,,Process,[PID 357] [kworker/1:2],    0 mW
99,2023-09-26 09:22:40,  52.0 us/s,,,,,Process,[PID 507] [kworker/6:2],    0 mW
100,2023-09-26 09:23:08,   1.4 ms/s, 91.1,,,,Interrupt,[3] net_rx(softirq),  362 mW
101,2023-09-26 09:23:08, 276.1 us/s, 74.7,,,,kWork,dbs_work_handler,  295 mW
102,2023-09-26 09:23:08, 334.6 us/s, 27.0,,,,Timer,tick_sched_timer,  107 mW
103,2023-09-26 09:23:08, 105.0 us/s, 13.5,,,,Timer,watchdog_timer_fn, 53.6 mW
104,2023-09-26 09:23:08,  64.0 us/s,  7.0,,,,Interrupt,[4] block(softirq), 27.8 mW
105,2023-09-26 09:23:08, 123.6 us/s,  6.2,,,,kWork,psi_avgs_work, 24.8 mW
106,2023-09-26 09:23:08,  10.5 ms/s,,,,,Process,[PID 2896] powertop --csv=powertop_output.csv , 16.4 mW
107,2023-09-26 09:23:08,  39.8 us/s,  3.7,,,,kWork,fb_flashcursor, 14.7 mW
108,2023-09-26 09:23:08,  18.4 us/s,  3.4,,,,kWork,flush_to_ldisc, 13.3 mW
109,2023-09-26 09:23:08,   8.5 ms/s,,,,,Process,[PID 2894] python3, 13.3 mW
110,2023-09-26 09:23:08, 395.7 us/s,  2.7,,,,Process,[PID 1735] /usr/bin/containerd , 11.1 mW
111,2023-09-26 09:23:08, 249.3 us/s,  1.5,,,,Process,[PID 1722] /usr/bin/containerd , 6.43 mW
112,2023-09-26 09:23:08,  20.4 us/s,  1.4,,,,kWork,blk_mq_run_work_fn, 5.69 mW
113,2023-09-26 09:23:08, 101.5 us/s,  1.3,,,,Process,[PID 15] [rcu_sched], 5.42 mW
114,2023-09-26 09:23:08,   7.3 us/s,  1.2,,,,kWork,lru_add_drain_per_cpu, 4.69 mW
115,2023-09-26 09:23:08,  50.2 us/s,  1.1,,,,Interrupt,[176] ahci[0000:00:17.0], 4.56 mW
116,2023-09-26 09:23:08, 274.2 us/s,  1.0,,,,Process,[PID 1728] /usr/bin/containerd , 4.52 mW
117,2023-09-26 09:23:08,  13.7 us/s,  1.0,,,,Timer,sched_rt_period_timer, 3.92 mW
118,2023-09-26 09:23:08,  95.9 us/s,  0.9,,,,kWork,i40e_service_task, 3.85 mW
119,2023-09-26 09:23:08,  11.0 us/s,  0.9,,,,kWork,pci_pme_list_scan, 3.72 mW
120,2023-09-26 09:23:08, 329.2 us/s,  0.5,,,,Process,[PID 1695] /usr/bin/containerd , 2.46 mW
121,2023-09-26 09:23:08,   1.2 ms/s,,,,,Process,[PID 2906] sudo, 1.89 mW
122,2023-09-26 09:23:08,   0.9 ms/s,,,,,Process,[PID 1506] /usr/sbin/irqbalance --foreground , 1.35 mW
123,2023-09-26 09:23:08,   0.8 ms/s,,,,,Interrupt,[7] sched(softirq), 1.30 mW
124,2023-09-26 09:23:08, 582.5 us/s,,,,,kWork,gc_worker,  909 uW
125,2023-09-26 09:23:08,  35.9 us/s, 0.20,,,,Process,[PID 1411] /sbin/multipathd -d -s ,  836 uW
126,2023-09-26 09:23:08, 528.6 us/s,,,,,Process,[PID 2907] apt-get,  825 uW
127,2023-09-26 09:23:08, 264.9 us/s, 0.10,,,,Process,[PID 1756] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ,  803 uW
128,2023-09-26 09:23:08,   6.4 us/s, 0.20,,,,kWork,ext4_end_io_rsv_work,  790 uW
129,2023-09-26 09:23:08,   2.3 us/s, 0.20,,,,kWork,blk_mq_requeue_work,  784 uW
130,2023-09-26 09:23:08,   0.9 us/s, 0.20,,,,kWork,wb_workfn,  781 uW
131,2023-09-26 09:23:08,  41.3 us/s, 0.15,,,,Process,[PID 1493] /usr/lib/accountsservice/accounts-daemon ,  649 uW
132,2023-09-26 09:23:08, 255.7 us/s, 0.05,,,,Process,[PID 1795] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ,  594 uW
133,2023-09-26 09:23:08, 352.2 us/s,,,,,Process,[PID 2853] sshd: icns@pts/3 ,  549 uW
134,2023-09-26 09:23:08, 291.8 us/s,,,,,Timer,hrtimer_wakeup,  455 uW
135,2023-09-26 09:23:08,  39.7 us/s, 0.10,,,,kWork,flush_memcg_stats_dwork,  452 uW
136,2023-09-26 09:23:08, 271.8 us/s,,,,,Process,[PID 1796] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ,  424 uW
